AFS,K21,14586.000,14638.800,52.800,203.56
AFS,M21,14641.100,14701.100,60.000,231.31
AFS,N21,14698.700,14756.700,58.000,223.60
AFS,Q21,14759.100,14815.600,56.500,217.82
ARB,K21,59.4810,60.0040,0.5230,78.45
ARB,M21,58.1220,58.4550,0.3330,49.95
ARB,N21,56.6720,57.0530,0.3810,57.15
ARB,Q21,54.9770,55.3660,0.3890,58.35
ARS,K21,94268.7000,94041.4000,-227.3000,137.85
ARS,M21,96677.2000,96742.4000,65.2000,39.54
ARS,N21,99392.0000,99369.0000,-23.0000,13.94
ARS,Q21,102759.1000,102701.4000,-57.7000,34.99
AUD,K21,4297.6550,4293.0710,-4.5840,275.04
AUD,M21,4307.0680,4302.8600,-4.2080,252.48
AUD,N21,4318.0960,4314.2370,-3.8590,231.54
AUD,Q21,4331.2110,4327.4480,-3.7630,225.78
AUS,K21,766.456,760.800,-5.656,318.24
AUS,M21,766.506,760.887,-5.619,316.16
AUS,N21,766.608,760.986,-5.622,316.33
AUS,Q21,766.674,761.052,-5.622,316.33
B3S,J21,55.12,55.00,-0.12,0.12
BGI,J21,317.25,316.75,-0.50,165.00
BGI,K21,314.95,313.00,-1.95,643.50
BGI,M21,313.70,311.80,-1.90,627.00
BGI,N21,317.10,314.45,-2.65,874.50
BGI,Q21,313.20,311.75,-1.45,478.50
BGI,U21,322.55,321.05,-1.50,495.00
BGI,V21,327.00,325.50,-1.50,495.00
BGI,X21,326.80,325.30,-1.50,495.00
BRI,M21,19707,19771,64,640.00
CAD,K21,4458.1780,4470.1710,11.9930,719.58
CAD,M21,4467.7400,4479.9900,12.2500,735.00
CAD,N21,4478.8650,4491.5420,12.6770,760.62
CAD,Q21,4492.0380,4504.9360,12.8980,773.88
CAN,K21,1257.729,1262.332,4.603,204.83
CAN,M21,1257.703,1262.293,4.590,204.25
CAN,N21,1257.624,1262.210,4.586,204.07
CAN,Q21,1257.636,1262.202,4.566,203.18
CCM,K21,99.79,98.94,-0.85,382.50
CCM,N21,95.68,94.52,-1.16,522.00
CCM,U21,89.34,88.92,-0.42,189.00
CCM,X21,90.01,89.41,-0.60,270.00
CCM,F22,90.19,89.77,-0.42,189.00
CCM,H22,86.00,86.00,0.00,0.00
CCM,K22,80.00,81.50,1.50,675.00
CCR,J21,13.19,12.96,-0.23,0.23
CHF,K21,6024.6910,6074.1000,49.4090,2470.45
CHF,M21,6042.0320,6092.5010,50.4690,2523.45
CHF,N21,6061.9130,6113.0790,51.1660,2558.30
CHF,Q21,6085.0370,6136.5640,51.5270,2576.35
CHL,K21,717634.500,714386.400,-3248.100,253.30
CHL,M21,717580.000,714375.500,-3204.500,249.90
CHL,N21,717516.000,714302.900,-3213.100,250.57
CHL,Q21,717364.500,714169.100,-3195.400,249.19
CIE,J21,3.68,3.69,0.01,0.01
CLP,K21,7813.4000,7898.9000,85.5000,2137.50
CLP,M21,7830.6000,7916.1000,85.5000,2137.50
CLP,N21,7850.3000,7936.8000,86.5000,2162.50
CLP,Q21,7875.2000,7961.9000,86.7000,2167.50
CMI,J21,12.68,12.70,0.02,0.02
CNH,K21,6555.792,6562.094,6.302,53.91
CNH,M21,6570.614,6578.060,7.446,63.70
CNH,N21,6586.108,6592.484,6.376,54.55
CNH,Q21,6601.493,6607.839,6.346,54.29
CNY,K21,8557.0720,8610.7080,53.6360,1877.26
CNY,M21,8554.3810,8600.2190,45.8380,1604.33
CNY,N21,8552.6610,8600.1750,47.5140,1662.99
CNY,Q21,8556.0960,8603.4500,47.3540,1657.39
DAP,J21,100121.32,100115.44,-5.88,8.32
DAP,K21,100379.39,100293.69,-85.70,121.37
DAP,M21,100499.53,100496.39,-3.14,4.44
DAP,F22,99728.24,99649.62,-78.62,111.34
DAP,Q22,98353.32,98262.36,-90.96,128.81
DAP,F23,96801.86,96709.27,-92.59,131.12
DAP,K23,95814.08,95719.36,-94.72,134.14
DAP,Q24,90825.83,90662.82,-163.01,230.85
DAP,K25,87970.23,87839.20,-131.03,185.56
DAP,Q26,83267.81,83395.97,128.16,181.50
DAP,Q28,76386.89,76588.56,201.67,285.61
DAP,Q30,70334.47,70687.63,353.16,500.15
DAP,K35,55821.25,55850.96,29.71,42.07
DAP,Q40,42413.54,42358.32,-55.22,78.20
DAP,K45,33068.21,33010.56,-57.65,81.64
DAP,Q50,25556.90,25499.70,-57.20,81.00
DCO,K21,99483.41,100116.63,633.22,1781.34
DCO,M21,99420.98,100055.34,634.36,1784.54
DCO,N21,99348.16,99982.29,634.13,1783.90
DCO,Q21,99277.60,99907.14,629.54,1770.99
DCO,U21,99193.33,99831.24,637.91,1794.53
DCO,V21,99113.17,99744.50,631.33,1776.02
DCO,X21,99022.78,99653.38,630.60,1773.97
DCO,Z21,98930.11,99559.66,629.55,1771.01
DCO,F22,98837.33,99460.18,622.85,1752.17
DCO,G22,98762.01,99383.00,620.99,1746.93
DCO,H22,98693.94,99313.84,619.90,1743.87
DCO,J22,98589.44,99208.54,619.10,1741.62
DCO,N22,98348.17,98962.13,613.96,1727.16
DCO,V22,98086.33,98681.79,595.46,1675.11
DCO,F23,97812.43,98401.43,589.00,1656.94
DCO,J23,97531.04,98151.26,620.22,1744.77
DCO,N23,97261.51,97837.36,575.85,1619.95
DCO,V23,96918.43,97513.44,595.01,1673.85
DCO,F24,96480.95,97095.23,614.28,1728.06
DCO,J24,96076.49,96686.14,609.65,1715.03
DCO,N24,95707.64,96346.24,638.60,1796.47
DCO,V24,95195.39,95835.12,639.73,1799.65
DCO,F25,94588.26,95257.77,669.51,1883.43
DCO,J25,94176.88,94738.91,562.03,1581.07
DCO,N25,93819.13,94340.21,521.08,1465.87
DCO,V25,93024.92,93463.75,438.83,1234.49
DCO,F26,92515.71,92901.89,386.18,1086.38
DCO,J26,91673.39,92128.63,455.24,1280.65
DCO,N26,91046.03,91580.10,534.07,1502.41
DCO,F27,89675.70,90248.88,573.18,1612.44
DCO,F28,87207.28,87762.03,554.75,1560.59
DCO,F29,84831.70,85371.75,540.05,1519.24
DCO,F30,82384.78,82908.43,523.65,1473.10
DCO,F31,80144.07,80658.10,514.03,1446.04
DCO,F33,75994.17,76273.48,279.31,785.74
DCO,F35,72089.16,72333.61,244.45,687.67
DDI,K21,99483.41,100116.63,633.22,1781.34
DDI,M21,99420.98,100055.34,634.36,1784.54
DDI,N21,99348.16,99982.29,634.13,1783.90
DDI,Q21,99277.60,99907.14,629.54,1770.99
DDI,U21,99193.33,99831.24,637.91,1794.53
DDI,V21,99113.17,99744.50,631.33,1776.02
DDI,X21,99022.78,99653.38,630.60,1773.97
DDI,Z21,98930.11,99559.66,629.55,1771.01
DDI,F22,98837.33,99460.18,622.85,1752.17
DDI,G22,98762.01,99383.00,620.99,1746.93
DDI,H22,98693.94,99313.84,619.90,1743.87
DDI,J22,98589.44,99208.54,619.10,1741.62
DDI,N22,98348.17,98962.13,613.96,1727.16
DDI,V22,98086.33,98681.79,595.46,1675.11
DDI,F23,97812.43,98401.43,589.00,1656.94
DDI,J23,97531.04,98151.26,620.22,1744.77
DDI,N23,97261.51,97837.36,575.85,1619.95
DDI,V23,96918.43,97513.44,595.01,1673.85
DDI,F24,96480.95,97095.23,614.28,1728.06
DDI,J24,96076.49,96686.14,609.65,1715.03
DDI,N24,95707.64,96346.24,638.60,1796.47
DDI,V24,95195.39,95835.12,639.73,1799.65
DDI,F25,94588.26,95257.77,669.51,1883.43
DDI,J25,94176.88,94738.91,562.03,1581.07
DDI,N25,93819.13,94340.21,521.08,1465.87
DDI,V25,93024.92,93463.75,438.83,1234.49
DDI,F26,92515.71,92901.89,386.18,1086.38
DDI,J26,91673.39,92128.63,455.24,1280.65
DDI,N26,91046.03,91580.10,534.07,1502.41
DDI,F27,89675.70,90248.88,573.18,1612.44
DDI,F28,87207.28,87762.03,554.75,1560.59
DDI,F29,84831.70,85371.75,540.05,1519.24
DDI,F30,82384.78,82908.43,523.65,1473.10
DDI,F31,80144.07,80658.10,514.03,1446.04
DDI,F33,75994.17,76273.48,279.31,785.74
DDI,F35,72089.16,72333.61,244.45,687.67
DI1,K21,99823.01,99822.93,-0.08,0.08
DI1,M21,99548.82,99545.94,-2.88,2.88
DI1,N21,99234.30,99225.65,-8.65,8.65
DI1,Q21,98870.98,98856.14,-14.84,14.84
DI1,U21,98468.32,98445.70,-22.62,22.62
DI1,V21,98062.46,98030.64,-31.82,31.82
DI1,X21,97655.00,97618.11,-36.89,36.89
DI1,Z21,97229.47,97187.55,-41.92,41.92
DI1,F22,96679.50,96632.09,-47.41,47.41
DI1,G22,96201.57,96146.62,-54.95,54.95
DI1,H22,95689.94,95627.18,-62.76,62.76
DI1,J22,95118.60,95047.46,-71.14,71.14
DI1,N22,93387.50,93283.95,-103.55,103.55
DI1,V22,91441.95,91306.59,-135.36,135.36
DI1,F23,89545.78,89391.29,-154.49,154.49
DI1,J23,87588.90,87411.00,-177.90,177.90
DI1,N23,85639.98,85441.23,-198.75,198.75
DI1,V23,83565.77,83330.47,-235.30,235.30
DI1,F24,81758.24,81484.51,-273.73,273.73
DI1,J24,80045.02,79741.67,-303.35,303.35
DI1,N24,78115.11,77782.48,-332.63,332.63
DI1,V24,76253.89,75902.35,-351.54,351.54
DI1,F25,74413.24,74044.95,-368.29,368.29
DI1,J25,72640.88,72263.29,-377.59,377.59
DI1,N25,71106.09,70721.66,-384.43,384.43
DI1,V25,69224.28,68832.46,-391.82,391.82
DI1,F26,67718.40,67321.17,-397.23,397.23
DI1,J26,66189.19,65780.81,-408.38,408.38
DI1,N26,64691.72,64272.91,-418.81,418.81
DI1,F27,61498.73,61061.65,-437.08,437.08
DI1,F28,55892.62,55408.46,-484.16,484.16
DI1,F29,50774.65,50252.03,-522.62,522.62
DI1,F30,46223.48,45649.67,-573.81,573.81
DI1,F31,42082.91,41463.08,-619.83,619.83
DI1,F33,34484.41,33872.16,-612.25,612.25
DI1,F35,28299.39,27712.43,-586.96,586.96
DOL,K21,5607.1600,5642.8540,35.6940,1784.70
DOL,M21,5619.0740,5655.0910,36.0170,1800.85
DOL,N21,5632.7560,5669.2030,36.4470,1822.35
DOL,Q21,5649.4390,5686.1160,36.6770,1833.85
DOL,U21,5667.7250,5705.4850,37.7600,1888.00
DOL,V21,5686.5840,5724.6640,38.0800,1904.00
DOL,X21,5705.1030,5743.6040,38.5010,1925.05
DOL,Z21,5724.7090,5763.6240,38.9150,1945.75
DOL,F22,5751.8750,5790.9630,39.0880,1954.40
DOL,G22,5776.0460,5815.6860,39.6400,1982.00
DOL,H22,5802.9260,5843.2070,40.2810,2014.05
DOL,J22,5831.6010,5872.6130,41.0120,2050.60
DOL,N22,5925.1640,5968.7730,43.6090,2180.45
DOL,V22,6035.1190,6080.7590,45.6400,2282.00
DOL,F23,6145.7060,6193.3990,47.6930,2384.65
DOL,J23,6264.9360,6317.6070,52.6710,2633.55
DOL,N23,6389.8000,6442.5850,52.7850,2639.25
DOL,V23,6525.3040,6583.9040,58.6000,2930.00
DOL,F24,6639.4630,6704.1810,64.7180,3235.90
DOL,J24,6753.1390,6821.8440,68.7050,3435.25
DOL,N24,6893.4150,6969.0870,75.6720,3783.60
ETH,J21,2425.00,2463.50,38.50,1155.00
ETH,K21,2465.00,2457.50,-7.50,225.00
ETH,M21,2495.00,2510.50,15.50,465.00
ETH,N21,2470.00,2490.00,20.00,600.00
ETH,Q21,2535.00,2552.50,17.50,525.00
ETH,U21,2555.00,2567.50,12.50,375.00
ETH,V21,2577.50,2580.00,2.50,75.00
ETH,X21,2625.00,2625.00,0.00,0.00
ETH,Z21,2652.50,2652.50,0.00,0.00
ETH,F22,2662.50,2662.50,0.00,0.00
ETH,G22,2655.00,2655.00,0.00,0.00
EUP,K21,1187.748,1187.296,-0.452,25.43
EUP,M21,1188.469,1188.060,-0.409,23.01
EUP,N21,1189.276,1188.848,-0.428,24.08
EUP,Q21,1190.087,1189.635,-0.452,25.43
EUR,K21,6659.6300,6699.0350,39.4050,1970.25
EUR,M21,6677.5890,6717.4770,39.8880,1994.40
EUR,N21,6698.4540,6738.9290,40.4750,2023.75
EUR,Q21,6722.4270,6763.2200,40.7930,2039.65
FRC,M21,0.78,0.76,-0.02,0.01
FRC,N21,0.83,0.82,-0.01,0.00
FRC,Q21,0.82,0.83,0.01,0.00
FRC,U21,0.87,0.85,-0.02,0.01
FRC,V21,0.89,0.89,0.00,0.00
FRC,X21,0.92,0.92,0.00,0.00
FRC,Z21,0.95,0.95,0.00,0.00
FRC,F22,0.96,0.97,0.01,0.00
FRC,G22,0.96,0.97,0.01,0.00
FRC,H22,0.95,0.96,0.01,0.00
FRC,J22,0.98,0.99,0.01,0.00
FRC,N22,0.98,0.99,0.01,0.00
FRC,V22,0.99,1.01,0.02,0.01
FRC,F23,1.01,1.03,0.02,0.01
FRC,J23,1.03,1.03,0.00,0.00
FRC,N23,1.04,1.06,0.02,0.01
FRC,V23,1.08,1.09,0.01,0.00
FRC,F24,1.15,1.15,0.00,0.00
FRC,J24,1.20,1.20,0.00,0.00
FRC,N24,1.23,1.22,-0.01,0.00
FRC,V24,1.30,1.29,-0.01,0.00
FRC,F25,1.39,1.37,-0.02,0.01
FRC,J25,1.42,1.43,0.01,0.00
FRC,N25,1.43,1.45,0.02,0.01
FRC,V25,1.55,1.59,0.04,0.02
FRC,F26,1.59,1.64,0.05,0.02
FRC,J26,1.71,1.74,0.03,0.01
FRC,N26,1.77,1.78,0.01,0.00
FRC,F27,1.90,1.90,0.00,0.00
FRC,F28,2.08,2.08,0.00,0.00
FRC,F29,2.22,2.22,0.00,0.00
FRC,F30,2.36,2.36,0.00,0.00
FRC,F31,2.46,2.46,0.00,0.00
FRC,F33,2.61,2.64,0.03,0.01
FRC,F35,2.74,2.77,0.03,0.01
FRO,M21,0.78,0.76,-0.02,0.01
FRO,N21,0.83,0.82,-0.01,0.00
FRO,Q21,0.82,0.83,0.01,0.00
FRO,U21,0.87,0.85,-0.02,0.01
FRO,V21,0.89,0.89,0.00,0.00
FRO,X21,0.92,0.92,0.00,0.00
FRO,Z21,0.95,0.95,0.00,0.00
FRO,F22,0.96,0.97,0.01,0.00
FRO,G22,0.96,0.97,0.01,0.00
FRO,H22,0.95,0.96,0.01,0.00
FRO,J22,0.98,0.99,0.01,0.00
FRO,N22,0.98,0.99,0.01,0.00
FRO,V22,0.99,1.01,0.02,0.01
FRO,F23,1.01,1.03,0.02,0.01
FRO,J23,1.03,1.03,0.00,0.00
FRO,N23,1.04,1.06,0.02,0.01
FRO,V23,1.08,1.09,0.01,0.00
FRO,F24,1.15,1.15,0.00,0.00
FRO,J24,1.20,1.20,0.00,0.00
FRO,N24,1.23,1.22,-0.01,0.00
FRO,V24,1.30,1.29,-0.01,0.00
FRO,F25,1.39,1.37,-0.02,0.01
FRO,J25,1.42,1.43,0.01,0.00
FRO,N25,1.43,1.45,0.02,0.01
FRO,V25,1.55,1.59,0.04,0.02
FRO,F26,1.59,1.64,0.05,0.02
FRO,J26,1.71,1.74,0.03,0.01
FRO,N26,1.77,1.78,0.01,0.00
FRO,F27,1.90,1.90,0.00,0.00
FRO,F28,2.08,2.08,0.00,0.00
FRO,F29,2.22,2.22,0.00,0.00
FRO,F30,2.36,2.36,0.00,0.00
FRO,F31,2.46,2.46,0.00,0.00
FRO,F33,2.61,2.64,0.03,0.01
FRO,F35,2.74,2.77,0.03,0.01
GBP,K21,7751.1540,7750.2670,-0.8870,31.04
GBP,M21,7768.2340,7767.6080,-0.6260,21.91
GBP,N21,7788.1690,7788.1980,0.0290,1.01
GBP,Q21,7811.6550,7811.8830,0.2280,7.98
GBR,K21,1382.410,1373.795,-8.615,484.74
GBR,M21,1382.520,1373.912,-8.608,484.34
GBR,N21,1382.672,1374.058,-8.614,484.68
GBR,Q21,1382.773,1374.166,-8.607,484.29
HSI,J21,28817,28541,-276,179.40
HYP,J21,32.66,32.80,0.14,0.14
ICF,K21,147.30,145.75,-1.55,872.13
ICF,N21,147.85,147.85,0.00,0.00
ICF,U21,150.05,150.10,0.05,28.13
ICF,Z21,154.30,153.50,-0.80,450.13
ICF,H22,155.85,153.90,-1.95,1097.20
ICF,K22,153.65,153.90,0.25,140.66
ICF,U22,151.50,151.65,0.15,84.40
IMV,J21,51438.00,51246.00,-192.00,116.44
IND,J21,117550,117565,15,15.00
IND,M21,118053,118060,7,7.00
IND,Q21,118793,118803,10,10.00
IND,V21,119549,119564,15,15.00
IND,Z21,120546,120560,14,14.00
IND,G22,121751,121770,19,19.00
IND,J22,122914,122942,28,28.00
IND,M22,124335,124380,45,45.00
IND,Q22,125922,125984,62,62.00
IND,V22,127391,127467,76,76.00
IND,Z22,129055,129139,84,84.00
IND,G23,130918,131012,94,94.00
INK,M21,29680.00,29680.00,0.00,0.00
ISP,M21,4072.00,4075.00,3.00,844.00
ISP,U21,4069.00,4076.00,7.00,1969.34
JAP,K21,109812.557,109775.886,-36.671,18.68
JAP,M21,109782.514,109743.010,-39.504,20.12
JAP,N21,109745.910,109707.914,-37.996,19.35
JAP,Q21,109711.391,109683.541,-27.850,14.18
JPY,K21,5104.6600,5139.9400,35.2800,1764.00
JPY,M21,5116.3700,5151.9800,35.6100,1780.50
JPY,N21,5130.3800,5166.4400,36.0600,1803.00
JPY,Q21,5146.7100,5182.8500,36.1400,1807.00
JSE,M21,62680,61822,-858,343.20
MEX,K21,20260.799,20292.173,31.374,86.94
MEX,M21,20325.238,20360.033,34.795,96.42
MEX,N21,20395.984,20429.450,33.466,92.74
MEX,Q21,20470.285,20501.613,31.328,86.81
MIX,M21,3470,3469,-1,4.50
MXN,K21,2767.5880,2780.2550,12.6670,950.02
MXN,M21,2764.1630,2776.9270,12.7640,957.30
MXN,N21,2761.5090,2774.4940,12.9850,973.87
MXN,Q21,2759.2620,2772.3070,13.0450,978.37
NOK,K21,8492.019,8477.649,-14.370,94.73
NOK,M21,8492.279,8477.890,-14.389,94.85
NOK,N21,8492.415,8478.001,-14.414,95.02
NOK,Q21,8492.575,8478.154,-14.421,95.06
NZD,K21,3952.5010,3953.9380,1.4370,107.77
NZD,M21,3960.8960,3961.9350,1.0390,77.92
NZD,N21,3969.9480,3971.3240,1.3760,103.20
NZD,Q21,3981.0960,3982.5720,1.4760,110.70
NZL,K21,704.900,700.700,-4.200,236.32
NZL,M21,704.900,700.600,-4.300,241.94
NZL,N21,704.800,700.500,-4.300,241.94
NZL,Q21,704.700,700.400,-4.300,241.94
OC1,K21,99823.01,99822.93,-0.08,0.08
OC1,M21,99548.82,99545.94,-2.88,2.88
OC1,N21,99234.30,99225.65,-8.65,8.65
OC1,Q21,98870.98,98856.14,-14.84,14.84
OC1,U21,98468.32,98445.70,-22.62,22.62
OC1,V21,98062.46,98030.64,-31.82,31.82
OC1,X21,97655.00,97618.11,-36.89,36.89
OC1,Z21,97229.47,97187.55,-41.92,41.92
OC1,F22,96679.50,96632.09,-47.41,47.41
OC1,G22,96201.57,96146.62,-54.95,54.95
OC1,H22,95689.94,95627.18,-62.76,62.76
OC1,J22,95118.60,95047.46,-71.14,71.14
OC1,N22,93387.50,93283.95,-103.55,103.55
OC1,V22,91441.95,91306.59,-135.36,135.36
OC1,F23,89545.78,89391.29,-154.49,154.49
OC1,J23,87588.90,87411.00,-177.90,177.90
OC1,N23,85639.98,85441.23,-198.75,198.75
OC1,V23,83565.77,83330.47,-235.30,235.30
OC1,F24,81758.24,81484.51,-273.73,273.73
OC1,J24,80045.02,79741.67,-303.35,303.35
OC1,N24,78115.11,77782.48,-332.63,332.63
OC1,V24,76253.89,75902.35,-351.54,351.54
OC1,F25,74413.24,74044.95,-368.29,368.29
OC1,J25,72640.88,72263.29,-377.59,377.59
OC1,N25,71106.09,70721.66,-384.43,384.43
OC1,V25,69224.28,68832.46,-391.82,391.82
OC1,F26,67718.40,67321.17,-397.23,397.23
OC1,J26,66189.19,65780.81,-408.38,408.38
OC1,N26,64691.72,64272.91,-418.81,418.81
OC1,F27,61498.73,61061.65,-437.08,437.08
OC1,F28,55892.62,55408.46,-484.16,484.16
OC1,F29,50774.65,50252.03,-522.62,522.62
OC1,F30,46223.48,45649.67,-573.81,573.81
OC1,F31,42082.91,41463.08,-619.83,619.83
OC1,F33,34484.41,33872.16,-612.25,612.25
OC1,F35,28299.39,27712.43,-586.96,586.96
OZ1,K21,312.553,315.526,2.973,743.25
PET,J21,24.04,24.02,-0.02,0.02
PSS,J21,48.68,47.87,-0.81,0.81
RUB,K21,77482.548,77387.362,-95.186,68.98
RUB,M21,77794.209,77704.880,-89.329,64.73
RUB,N21,78132.419,78037.625,-94.794,68.69
RUB,Q21,78483.944,78395.158,-88.786,64.34
SEK,K21,8617.292,8627.315,10.023,65.08
SEK,M21,8615.116,8624.941,9.825,63.79
SEK,N21,8612.435,8622.413,9.978,64.78
SEK,Q21,8610.097,8620.138,10.041,65.19
SJC,K21,31.2776,31.0571,-0.2205,558.30
SJC,N21,31.1122,30.9303,-0.1819,460.57
SJC,Q21,30.3186,30.2138,-0.1048,265.35
SJC,U21,28.7698,28.6927,-0.0771,195.21
SJC,X21,28.0258,28.0148,-0.0110,27.85
SJC,F22,27.9707,27.9652,-0.0055,13.92
SJC,H22,27.3754,27.3589,-0.0165,41.77
SWI,K21,930.700,929.000,-1.700,102.17
SWI,M21,930.000,928.200,-1.800,108.18
SWI,N21,929.200,927.400,-1.800,108.18
SWI,Q21,928.400,926.600,-1.800,108.18
T10,M21,131.6875,131.8281,0.1406,785.44
TRY,K21,677.4660,681.2310,3.7650,282.37
TRY,M21,666.7250,670.3960,3.6710,275.32
TRY,N21,655.9830,660.3540,4.3710,327.82
TRY,Q21,645.0430,649.4590,4.4160,331.20
TUQ,K21,8276.700,8283.300,6.600,45.38
TUQ,M21,8427.900,8435.400,7.500,51.57
TUQ,N21,8586.700,8585.200,-1.500,10.31
TUQ,Q21,8758.100,8755.200,-2.900,19.94
USI,J21,17.67,17.91,0.24,0.24
VAL,J21,102.14,104.65,2.51,2.51
VVA,J21,12.37,12.32,-0.05,0.05
WDO,K21,5607.1600,5642.8540,35.6940,356.94
WDO,M21,5619.0740,5655.0910,36.0170,360.17
WDO,N21,5632.7560,5669.2030,36.4470,364.47
WDO,Q21,5649.4390,5686.1160,36.6770,366.77
WDO,U21,5667.7250,5705.4850,37.7600,377.60
WDO,V21,5686.5840,5724.6640,38.0800,380.80
WDO,X21,5705.1030,5743.6040,38.5010,385.01
WDO,F22,5751.8750,5790.9630,39.0880,390.88
WDO,J22,5831.6010,5872.6130,41.0120,410.12
WDO,N22,5925.1640,5968.7730,43.6090,436.09
WDO,V22,6035.1190,6080.7590,45.6400,456.40
WDO,F23,6145.7060,6193.3990,47.6930,476.93
WEU,K21,6659.6300,6699.0350,39.4050,394.05
WIN,J21,117550,117565,15,3.00
WIN,M21,118053,118060,7,1.40
WIN,Q21,118793,118803,10,2.00
WIN,V21,119549,119564,15,3.00
WIN,Z21,120546,120560,14,2.80
WIN,G22,121751,121770,19,3.80
WIN,J22,122914,122942,28,5.60
WIN,M22,124335,124380,45,9.00
WIN,Q22,125922,125984,62,12.40
WIN,V22,127391,127467,76,15.20
WIN,Z22,129055,129139,84,16.80
WIN,G23,130918,131012,94,18.80
WSP,M21,4072.00,4075.00,3.00,42.20
ZAR,K21,3844.2200,3854.7140,10.4940,367.29
ZAR,M21,3837.8880,3846.6910,8.8030,308.10
ZAR,N21,3832.1280,3841.8270,9.6990,339.46
ZAR,Q21,3827.7050,3837.9410,10.2360,358.26
ZAR,U21,3826.1190,3836.5170,10.3980,363.93
